#,الجامعة,الدولة,المدينة,الموقع الرسمي,city_fill_method
1572,Yunnan Open University,China,,,
1573,Yunnan Tin Vocational Technical College,China,,,
1575,Yunnan University Tourism & Culture College,China,,,
1576,Yunnan Vocational College of Economic & Trade Affairs,China,,,
1579,Zhejiang A&F University,China,,,
1580,Zhejiang Agriculture & Forestry University,China,,,
1581,Zhejiang Agriculture & Forestry University & Yangyang College,China,,,
1582,Zhejiang Automotive Vocational & Technical College,China,,,
1585,Zhejiang Police College of Continuing Education Eastern Division Education Base,China,,,
1587,Zhejiang University of Media & Communications,China,,,
1605,American Higher Education Union,Colombia,,,
1606,Antioquia Technological Institute,Colombia,,,
1607,Antonio de Arevalo Technological Foundation,Colombia,,,
1608,Antonio Jose Camacho University Institution,Colombia,,,
1610,Augustinian University,Colombia,,,
1611,Autonomous University Corporation Of The Cauca,Colombia,,,
1612,Autonomous University Foundation Of The Americas,Colombia,,,
1616,Autonomous University Of Occident,Colombia,,,
1617,Autonomous University Of The Caribbean,Colombia,,,
1619,Bolivarian Pontifical University,Colombia,,,
1620,Cafam University Foundation,Colombia,,,
1622,Caribbean University Corporation,Colombia,,,
1625,Catholic University Of The East,Colombia,,,
1627,Central Unit Of Valle Del Cauca,Colombia,,,
1629,College Of Higher Studies Of Administration Cesa,Colombia,,,
1630,Colombian American University Institution,Colombia,,,
1633,Colombian School Of Industrial Careers,Colombia,,,
1634,Colombian Technology,Colombia,,,
1635,Colombo Germana Technological Foundation,Colombia,,,
1640,EAN University School of Business Administration,Colombia,,,
1641,Educational Corporation Higher Technical Institute of Arts,Colombia,,,
1644,Grand Colombian Polytechnic,Colombia,,,
1645,Higher School of Administration & Technological Studies Corporation,Colombia,,,
1646,Higher School of Business Sciences,Colombia,,,
1647,Ibero American University Corporation,Colombia,,,
1649,INPAHU University Foundation,Colombia,,,
1650,Institute of Administration & Finance Corporation,Colombia,,,
1651,"Institute of Business Education IDEE Higher School of Gastronomy, Hospitality & Tourism",Colombia,,,
1652,International Polytechnic Higher Education Institution,Colombia,,,
1653,Juan De Castellanos University Foundation,Colombia,,,
1654,Juan N Corpas University Foundation,Colombia,,,
1655,Konrad Lorenz University Foundation,Colombia,,,
1658,Lasallian University Corporation,Colombia,,,
1659,Latin American Autonomous University,Colombia,,,
1660,Los Libertadores University Foundation,Colombia,,,
1661,Luis Amigo University Foundation,Colombia,,,
1662,Lumen Gentium Catholic University Foundation,Colombia,,,
1665,Maria Cano University Foundation,Colombia,,,
1667,Metropolitan Technological Institute,Colombia,,,
1670,National Learning Service Sena,Colombia,,,
1673,Northern Catholic University Foundation,Colombia,,,
1674,Pascual Bravo Technological Institute,Colombia,,,
1679,Rafael Nunez University Corporation,Colombia,,,
1680,Salamanca Business University Corporation,Colombia,,,
1682,Sanitas Unisanitas University Foundation,Colombia,,,
1683,Santander Technological Units,Colombia,,,
1686,Savannah College,Colombia,,,
1687,School of Military Engineers,Colombia,,,
1690,Superior School Of Public Administration,Colombia,,,
1691,Sur Technological Institute,Colombia,,,
1694,Technological University Of Choco,Colombia,,,
1695,Uniclaretiana,Colombia,,,
1696,Uniremington,Colombia,,,
1697,Unitec University Corporation,Colombia,,,
1700,University Foundation Of Health Sciences,Colombia,,,
1701,University Foundation Of The Andean Area,Colombia,,,
1702,University Francisco Jose De Calda,Colombia,,,
1703,University Institution Colegio Mayor De Antioquia,Colombia,,,
1705,University Institution Esumer Educational Foundation,Colombia,,,
1719,University Of The Coast Corporation,Colombia,,,
1721,Autonomous University Of Central America,Costa Rica,,,
1722,Costa Rica State Distance University,Costa Rica,,,
1723,Costa Rica Technological Institute,Costa Rica,,,
1725,Earth University Costa Rica,Costa Rica,,,
1726,FLACSO Costa Rica Latin American Faculty of Social Sciences,Costa Rica,,,
1728,John Paul II University,Costa Rica,,,
1729,Lead University,Costa Rica,,,
1730,Magister University,Costa Rica,,,
1731,National University Of Costa Rica,Costa Rica,,,
1746,University Of Cabo Verde,Cabo Verde,,,
1755,Banking Institute College of Banking,Czech Republic,,,
1756,College of Applied Law,Czech Republic,,,
1757,College of Applied Psychology,Czech Republic,,,
1758,College of Information Management & Economics,Czech Republic,,,
1759,College of Physical Education & Sport Palestra,Czech Republic,,,
1760,Czech College,Czech Republic,,,
1761,Jan Amos Komensky University,Czech Republic,,,
1766,Newport University,Czech Republic,,,
1771,Skoda Auto University,Czech Republic,,,
1773,Unicorn College,Czech Republic,,,
1782,University of the Defence Faculty of Military Health Sciences,Czech Republic,,,
1795,ESMOD International Fashion Art School,Germany,,,
1796,Evangelical University,Germany,,,
1797,Federal University,Germany,,,
1802,Hanover Veterinary University Foundation,Germany,,,
1806,IUBH University of Applied Sciences,Germany,,,
1810,Leibniz Academy Hanover,Germany,,,
1816,North Rhine Westphalia University of Police & Public Administration,Germany,,,
1818,Popakademie Baden Wurttemberg University of Popular Music & Music Business,Germany,,,
1820,Rhein Main Vocational Academy,Germany,,,
1821,Rhenish University of Applied Sciences Cologne,Germany,,,
1822,Schleswig Holstein Cooperative State University,Germany,,,
1825,SRH technical schools,Germany,,,
1828,SRH University of Health,Germany,,,
1829,Stock exchanges & Frankfurt Finance Academy,Germany,,,
1837,University of Applied Pedagogy,Germany,,,
1838,University of Applied Sciences for Public Administration,Germany,,,
1839,University of Applied Sciences for Public Administration & Justice,Germany,,,
1852,Cold college,Denmark,,,
1853,Danish Design School,Denmark,,,
1854,Northwest Jutland Business College,Denmark,,,
1856,Royal Danish Academy Of Fine Arts School Of Visual Arts,Denmark,,https://kunstakademiet.dk/,
1858,The Royal Academy,Denmark,,,
1859,University College Little Belt,Denmark,,,
1860,University College North Jutland,Denmark,,,
1861,University College Sjaelland,Denmark,,,
1864,CAPGEFI Fiscal Policy & Management Training Center,Dominican Republic,,,
1865,Dominican Institute of Agricultural & Forestry Research IDIAF,Dominican Republic,,,
1867,National School Of The Judiciary Dominican Republic,Dominican Republic,,,
1868,National School of the Public Prosecutor's Office ENMP,Dominican Republic,,,
1869,Salome Urena Higher Institute Of Teacher Training Isfodosu,Dominican Republic,,,
1874,Unique Interamerican University,Dominican Republic,,,
1875,University Of The Caribbean Dominican Republic,Dominican Republic,,,
1889,Bolivar State University,Ecuador,,,
1893,Ecotec Technological University,Ecuador,,,
1895,Espe Armed Forces University,Ecuador,,,
1898,Holy Spirit University Of Specialties,Ecuador,,,
1899,Institute Of Higher National Studies,Ecuador,,,
1902,Metropolitan University Of Ecuador,Ecuador,,,
1905,North Technical University,Ecuador,,,
1906,Pacific University Business School,Ecuador,,,
1910,Regional Autonomous University Of The Andes Uniandes,Ecuador,,,
1914,Santa Elena Peninsula State University,Ecuador,,,
1916,Sek International Private University,Ecuador,,,
1917,Southern State University Of Manabi Unesum,Ecuador,,,
1918,State University Of Miracle,Ecuador,,,
1921,Technical University Of Manabi,Ecuador,,,
1922,Technological University Indoamerica,Ecuador,,,
1927,University Of The Hemispheres,Ecuador,,,
1928,University of Tourist Specialties,Ecuador,,,
1929,Ute University,Ecuador,,,
1933,Estonian Military Academy,Estonia,,,
1934,Estonian School of Hotel & Tourism Management,Estonia,,,
1935,Institute of Theology of the Estonian Evangelical Lutheran Church,Estonia,,,
1942,Alicia Alonso Dance Institute Rey Juan Carlos University,Spain,,,
1949,Cardenal Cisneros Higher Education Center UCM,Spain,,,
1954,CEU Higher Institute of Professional Studies,Spain,,,
1957,Cunef University,Spain,,,
1959,EALDE Business School,Spain,,,
1960,European Graduate Institute,Spain,,,
1961,European Institute of Design Spain,Spain,,,
1963,European University Of The Atlantic,Spain,,,
1965,Higher Institute of Art,Spain,,,
1966,Higher School Of Music Of Catalonia,Spain,,,
1970,Isabel I International University Of Castile,Spain,,,
1973,King Juan Carlos University,Spain,,,
1974,Les Roches Bluche Swiss Hotel Management School,Spain,,,
1977,Miguel De Cervantes European University,Spain,,,
1980,National University of Distance Education,Spain,,,
1981,National University Of Distance Education Uned,Spain,,,
1982,Nebrija University,Spain,,,
1997,Teaching Center La Inmaculada UGR,Spain,,,
1999,UAB University School of Tourism & Hotel Management,Spain,,,
2010,University Of Deusto Deustuko Unibertsitatea,Spain,,,
2027,University of Seville,Spain,,,
2028,University of Technology & Business,Spain,,,
2037,Ethiopian Institute of Architecture,Ethiopia,,,
2038,Federal TVET Institute FTVETI,Ethiopia,,,
2039,Rift Valley University College,Ethiopia,,,
2040,Royal College of Engineering,Ethiopia,,,
2042,Sri Sai College,Ethiopia,,,
2043,University Community,Ethiopia,,,
2044,Western University College Ethiopia,Ethiopia,,,
2045,Arcada Polytechnic,Finland,,,
2047,Hamk University Of Applied Sciences,Finland,,https://hamk.fi/,
2049,Kymenlaakso University of Applied Sciences,Finland,,,
2051,Lapland University Of Applied Sciences,Finland,,,
2054,National Defence University,Finland,,,
2055,Saimia University of Applied Sciences,Finland,,,
2060,Those Academy University,Finland,,,
2062,Vamk University Of Applied Sciences,Finland,,,
2065,Arts et Métiers Sciences et Technologies,France,,,
2066,Atlantic School of Business,France,,,
2067,BESIGN Design School,France,,,
2070,Brittany National School of Advanced Techniques,France,,,
2071,Burgundy School of Business & Management,France,,,
2090,Grande Ecole of Agricultural & Food Industries Engineering,France,,,
2094,Gustave Eiffel University,France,,,
2096,heySam University,France,,,
2098,Higher Institute of Aeronautics & Space,France,,,
2101,Higher School of Arts & Techniques,France,,,
2102,Higher School of Audiovisual Production Cinema Sound Animation ESRA,France,,,
2106,Higher School of Technology & Business,France,,,
2108,IFG Executive Education INSEEC Group,France,,,
2114,Institut Agro,France,,,
2118,Institut supérieur de l'aéronautique et de l'espace,France,,,
2119,Institute for Educational & Social Work,France,,,
2120,ISEN Mediterranee Engineering School,France,,,
2124,La Femis National Higher School of Image & Sound Professions,France,,,
2128,Mediterranean Institute of Training & Research in Social Work,France,,,
2131,National Center for Nordic & Medium Mountain Skiing,France,,,
2137,Naval School,France,,,
2139,Normandy University,France,,,
2150,Regional Institute of Social Work of New Aquitaine,France,,,
2151,Reunion Higher School of Art,France,,,
2163,SUPELEC Higher School of Electricity,France,,,
2198,University of Western Brittany,France,,,
2201,Ayrshire College,United Kingdom,,,
2204,British School of Osteopathy,United Kingdom,,,
2205,Bromley College of Further & Higher Education,United Kingdom,,,
2208,College of Estate Management,United Kingdom,,,
2209,College of Medicine & Dentistry Ulster University,United Kingdom,,,
2215,Institute of Engineering & Technology The IET,United Kingdom,,,
2219,LeSoCo,United Kingdom,,,
2222,Loreto College,United Kingdom,,,
2226,Peninsula College of Medicine & Dentistry,United Kingdom,,,
2228,Royal Academy of Dance,United Kingdom,,,
2231,South West College,United Kingdom,,,
2233,The City College,United Kingdom,,,
2235,The Prince's Foundation School of Traditional Arts,United Kingdom,,,
2242,American University for Humanities,Georgia,,,
2243,Caucasian Academy Center,Georgia,,,
2246,European Teaching University,Georgia,,,
2247,Euroregional University,Georgia,,,
2248,Gelati Theological Academy & Seminary of Apostolic Autocephalous Orthodox Church of Georgia,Georgia,,,
2249,Georgia Economy & Law Teaching University,Georgia,,,
2250,Georgian European Higher Education Institution,Georgia,,,
2253,Samtskhe Javakheti State University,Georgia,,,
2259,Teaching University of International Relations,Georgia,,,
2261,Zurab Zhvania Georgian Institute Of Public Affairs,Georgia,,,
2266,Knutsford University,Ghana,,,
2268,Mount Crest University,Ghana,,,
2269,National Film & Television Institute,Ghana,,,
2272,Regional Maritime University,Ghana,,,
2280,British Hellenic College,Greece,,,
2284,Technological Education Institute of Crete,Greece,,,
2285,Technological Education Institute of Eastern Macedonia & Thrace,Greece,,,
2287,Technological Educational Institute of Peloponnese,Greece,,,
2289,INTECAP Technical Institute of Training & Productivity,Guatemala,,,
2292,North Western University Center,Guatemala,,,
2297,Caritas Francis Hsu College,Hong Kong,,,
2298,Centre for Educational Development,Hong Kong,,,
2299,Hang Seng Management College,Hong Kong,,,
2300,Hang Seng School of Commerce,Hong Kong,,,
2304,National University of Agriculture,Honduras,,,
2305,Technological University Of Honduras,Honduras,,,
2318,"Institute of Sciences, Technologies & Advanced Studies of Haiti",Haiti,,,
2319,Notre Dame University of Haiti Faculty of Medicine & Health Sciences,Haiti,,,
2320,Queensland University Queensland University,Haiti,,,
2321,State University Of Haiti,Haiti,,,
2322,University of the New Grand Anse,Haiti,,,
2335,Hungarian Academy of Dance,Hungary,,,
2344,University of Western Hungary Campus Savaria,Hungary,,,
2354,AKBID Ar Rahmah Midwifery Academy,Indonesia,,,
2356,AKBID Bina Sehat Nusantara Midwifery Academy,Indonesia,,,
2364,AKBID Keris Husada Midwifery Academy,Indonesia,,,
2366,AKBID Mutiara Mahakam Midwifery Academy,Indonesia,,,
2373,AKBID Tarutung Midwifery Academy,Indonesia,,,
2374,AKBID Tunas Harapan Bangsa Midwifery Academy,Indonesia,,,
2376,AKBID Wimisada Midwifery Academy,Indonesia,,,
2378,AKFAR Pharmacy Academy Indah Foundation,Indonesia,,,
2379,AKFIS Physiotherapy Academy Dustira Hospital,Indonesia,,,
2380,AKONAS National Achievement Sports Academy,Indonesia,,,
2381,AKPER Abdi Florence Nursing Academy,Indonesia,,,
2386,AKPER Husada Nursing Academy,Indonesia,,,
2387,AKPER Jogjakarta Nursing Academy,Indonesia,,,
2389,AKPER Ngestiwaluyo Nursing Academy,Indonesia,,,
2390,AKPER Nursing Academy & Bhakti Husada Bidayan Academy,Indonesia,,,
2393,AKPER Sumber Waras Nursing Academy,Indonesia,,,
2396,Al Hikmah College of Da'wah Science,Indonesia,,,
2405,AMIK Imelda Informatics & Computer Management Academy,Indonesia,,,
2407,AMIK Lamaappapoleonro Academy of Informatics & Computer Management,Indonesia,,,
2410,AMIK Purnama Niaga Informatics & Computer Management Academy,Indonesia,,,
2411,AMIK Selat Panjang Informatics & Computer Management Academy,Indonesia,,,
2416,AMIK Wira Nusantara Academy of Informatics & Computer Management,Indonesia,,,
2418,AMKI Yainco Ketapang Computer & Informatics Management Academy,Indonesia,,,
2419,An Nuur University,Indonesia,,,
2420,AP YUKI Indonesian Christian University Foundation Banking Academy,Indonesia,,,
2421,ASM Ariyanti,Indonesia,,,
2424,Atma Jaya Indonesian Catholic University,Indonesia,,,
2425,Audi University Indonesia,Indonesia,,,
2426,Azzahra University,Indonesia,,,
2427,Bali Kartini Health Polytechnic,Indonesia,,,
2438,Banten Shipping Polytechnic,Indonesia,,,
2447,BHI Hospitality School,Indonesia,,,
2452,Brass University,Indonesia,,,
2454,Buddhi Dharma University,Indonesia,,,
2455,Budi Luhur University,Indonesia,,,
2458,Central Midwifery Academy,Indonesia,,,
2461,Citra Intan Persada Academy of Diagnostic & Radiotherapy Engineering,Indonesia,,,
2462,College of Development Communication Sciences,Indonesia,,,
2465,Darma Cendika Catholic University,Indonesia,,,
2468,Darussalam Polytechnic,Indonesia,,,
2470,Dawn University,Indonesia,,,
2475,Dharma Wacana College,Indonesia,,,
2479,Drg Suherman Medical Institute,Indonesia,,,
2480,Duta Bangsa College of Technology,Indonesia,,,
2481,East Java Veterans National Development University,Indonesia,,,
2483,"Faculty of Administrative Sciences, Puangrimaggalatung University",Indonesia,,,
2485,Famika Sungguminasa Gowa STI College of Nursing,Indonesia,,,
2488,Galuh University,Indonesia,,,
2489,Ganesha University Of Education,Indonesia,,,
2491,Gatot Soebroto Army Hospital AKBID Midwifery Academy,Indonesia,,,
2493,General Achmad Yani University,Indonesia,,,
2494,General Soedirman University,Indonesia,,,
2495,Geography of STKIP Kie Raha,Indonesia,,,
2497,Graha Karya Batanghari College of Agricultural Sciences,Indonesia,,,
2498,Gunung Jati Swadaya University UGJ,Indonesia,,,
2499,Haji University,Indonesia,,,
2502,Hamzanwadi Islamic Institute NW East Lombok,Indonesia,,,
2503,Hang Tuah University,Indonesia,,,
2504,HELVETIA Health Institute,Indonesia,,,
2506,Ibrahimy APERIKI Fisheries Academy,Indonesia,,,
2508,IKJ Fine Arts,Indonesia,,,
2512,Indonesian Adventist University,Indonesia,,,
2514,Indonesian Business Digital Institute,Indonesia,,,
2515,Indonesian Business Polytechnic,Indonesia,,,
2516,Indonesian Campus,Indonesia,,,
2517,Indonesian Christian University,Indonesia,,,
2518,Indonesian College of Information & Computer Management School of Technology & Business ISTB,Indonesia,,,
2520,Indonesian Digital Technology University,Indonesia,,,
2521,Indonesian Education University,Indonesia,,,
2522,Indonesian Institute of Technology & Business,Indonesia,,,
2523,Indonesian Islamic University,Indonesia,,,
2525,Indonesian Nahdlatul Ulama University,Indonesia,,,
2526,Indonesian National Islamic University,Indonesia,,,
2527,Indonesian National STIE College of Economics,Indonesia,,,
2528,Indonesian Polytechnic Venezuela,Indonesia,,,
2529,Indonesian Technocrat University,Indonesia,,,
2530,Indraphrasta Tourism Academy,Indonesia,,,
2531,Indraprasta University Pgri Unindra,Indonesia,,,
2532,Institute of Teacher Training & Education IKIP Siliwangi,Indonesia,,,
2536,Islamic University Of North Sumatra,Indonesia,,,
2537,IT&B Campus,Indonesia,,,
2541,Jakarta Veterans National Development University,Indonesia,,,
2543,Jaya Development University,Indonesia,,,
2544,Jayabaya University,Indonesia,,,
2550,KH Abdul Chalim Institute,Indonesia,,,
2558,LP3I Polytechnic,Indonesia,,,
2565,Mahadeva University,Indonesia,,,
2568,Main Potential University,Indonesia,,,
2573,Malahayati University,Indonesia,,,
2578,Muhammadiyah Aceh Tourism Academy,Indonesia,,,
2582,Muhammadiyah University Of Aceh Unmuha,Indonesia,,,
2587,Muhammadiyah University Of North Sumatra,Indonesia,,,
2592,Muhammadiyah University Prof Dr Hamka,Indonesia,,,
2593,Multistrada Community College,Indonesia,,,
2600,National Polytechnic,Indonesia,,,
2601,Naval Academy,Indonesia,,,
2605,"Nusa Lontar University, Rote",Indonesia,,,
2606,Nusantara Islamic University,Indonesia,,,
2624,Pertamina University,Indonesia,,,
2630,Politeknik TELKOM,Indonesia,,,
2634,Post graduate of UMN AlWahsliyah,Indonesia,,,
2636,Prism University,Indonesia,,,
2638,Prof Dr Moestopo Updm University,Indonesia,,,
2644,Raden Intan Lampung State Islamic University,Indonesia,,,
2645,Raden Rahmat Islamic University,Indonesia,,,
2646,Raffles College,Indonesia,,,
2647,Respati Indonesia University Urindo,Indonesia,,,
2648,Riau Malay Arts Academy,Indonesia,,,
2650,Saint Mary Academy,Indonesia,,,
2654,Santa Maria Secretarial & Management Academy,Indonesia,,,
2662,Sekolah Tinggi Ilmu Administrasi dan Manajemen Kepelabuhan STIAMAK Barunawati,Indonesia,,,
2672,Sekolah Tinggi Ilmu Tarbiyah STIT INSIDA,Indonesia,,,
2678,Sekolah Tinggi Manajemen Informatika dan Komputer Triguna Dharma,Indonesia,,,
2684,Stads Asmi School of Administrative Sciences,Indonesia,,,
2692,STAI Yasni Bungo Jambi Islamic College,Indonesia,,,
2693,STAIBN State Bhakti Islamic Religious College,Indonesia,,,
2695,STAIN Gajah Putih Takengon State Islamic College,Indonesia,,,
2696,STAIN Kerinci State Islamic College,Indonesia,,,
2707,STBA HAS Foreign Language College,Indonesia,,,
2708,STBA LIA Sleman Foreign Language College,Indonesia,,,
2711,Stenden University of Bali,Indonesia,,,
2712,STF Borneo Lestari College of Pharmacy,Indonesia,,,
2713,STF Widya Sasana College of Philosophy,Indonesia,,,
2715,STI Sharia Darul Ulum College of Science,Indonesia,,,
2724,"STIE College of Economics, Indonesian Industrial & Services Management",Indonesia,,,
2725,STIE Dr Moechtar Talib College of Economics,Indonesia,,,
2728,STIE Indonesia Banjarbaru College of Economics,Indonesia,,,
2729,STIE Indonesia School of Economics School of Management,Indonesia,,,
2731,STIE IPWI College of Economics,Indonesia,,,
2736,"STIE MBI College of Economics, Indonesian Business Management",Indonesia,,,
2737,STIE Mitra Indonesia College of Economics,Indonesia,,,
2738,STIE Mura Linggau,Indonesia,,,
2739,STIE National Development School of Economics,Indonesia,,,
2740,STIE Paripurna College of Economics,Indonesia,,,
2746,STIE STIE Widyadarma College of Economics,Indonesia,,,
2747,STIE STIE Widyadarma Kotamobagu College of Economics,Indonesia,,,
2749,STIE Triguna College of Economics,Indonesia,,,
2751,STIE Wiyatamandala College of Economics,Indonesia,,,
2752,STIE YPLS Lamappeonro College of Economics,Indonesia,,,
2753,STIEKOM North Sumatra Academy of Informatics & Computer Management,Indonesia,,,
2754,STIEM Jakarta Muhammadiyah College of Economics,Indonesia,,,
2758,STIH Zainul Hasan College of Law,Indonesia,,,
2761,STIKES Aufa Royhan College of Health Sciences,Indonesia,,,
2764,STIKES Bina Nusantara College of Health Sciences,Indonesia,,,
2765,STIKES Citra Delima Bangka Belitung College of Health Sciences,Indonesia,,,
2768,STIKES Darul Azhar College of Health Sciences,Indonesia,,,
2770,STIKES IBNU Siina College of Health Sciences,Indonesia,,,
2772,STIKES Kusuma Husada College of Health Sciences,Indonesia,,,
2773,STIKES Mitra Bunda Persada College of Health Sciences,Indonesia,,,
2774,STIKES Mitra Bunda Persada School of Health Sciences,Indonesia,,,
2775,STIKES Mitra Kencana College of Health Sciences,Indonesia,,,
2777,STIKES Muhammadiyah Pringsewu College of Health Sciences,Indonesia,,,
2780,STIKES Nusantara College of Health Sciences,Indonesia,,,
2789,STIKOM National Dynamics College of Communication Sciences,Indonesia,,,
2792,STISIP Biges College of Social & Political Sciences,Indonesia,,,
2797,STIT Al Khairiyah Cilegon Tarbiyah College of Science,Indonesia,,,
2801,STKIP Bina Bangsa Getsempena College of Teacher Training & Education,Indonesia,,,
2803,STKIP Muhammadiyah Bangka Belitung,Indonesia,,,
2806,STKIP Pakare Talino Teacher Training & Education College,Indonesia,,,
2808,STKIP Pasundan Teacher Training & Education College,Indonesia,,,
2809,STKIP Setia Budhi Rangkasbitung Teacher Training & Education College,Indonesia,,,
2811,"STKIP Teacher Training & Education College, Banten Site",Indonesia,,,
2816,STMIK Bidakara,Indonesia,,,
2820,STMIK GICI,Indonesia,,,
2822,STMIK Ibbi College of Information & Computer Management,Indonesia,,,
2825,STMIK Jayakarta College of Information & Computer Management,Indonesia,,,
2826,STMIK Kharisma Karawang College of Information & Computer Management,Indonesia,,,
2829,STMIK Muhammadiyah Banten School of Information & Computer Management,Indonesia,,,
2833,STMIK Satyagama College of Information & Computer Management,Indonesia,,,
2840,STP Satya Widya Tourism College,Indonesia,,,
2841,STPI Curug Indonesian Aviation College,Indonesia,,,
2843,STT Bina Tunggal College of Technology,Indonesia,,,
2846,STT Gamaliel,Indonesia,,,
2847,STT Reformed Indonesia,Indonesia,,,
2848,STTI Indonesian College of Technology,Indonesia,,,
2852,Sunan Giri University,Indonesia,,,
2862,Suryakancana University,Indonesia,,,
2866,Tamansiswa Bachelor University,Indonesia,,,
2869,Tribhuwana Tunggadewi University,Indonesia,,,
2874,Uin Smh Banten State Islamic University,Indonesia,,,
2882,University Of Islam,Indonesia,,,
2886,University Of West Sulawesi,Indonesia,,,
2887,UNY FE Crystal Research UKMF,Indonesia,,,
2891,Wahid Hasyim University Unwahas,Indonesia,,,
2893,Widya Husada Periodic AKPER Nursing Academy,Indonesia,,,
2895,Widya Kartika University,Indonesia,,,
2899,WIDYA NUSANTARA AKPARTA Tourism Academy,Indonesia,,,
2902,Winaya Mukti University,Indonesia,,,
2903,Wiralodra University Unwir,Indonesia,,,
2904,Yamasi Pharmacy Academy,Indonesia,,,
2907,YKPN Polytechnic,Indonesia,,,
2912,YPIQ West Sumatra Islamic College,Indonesia,,,
2914,City Colleges,Ireland,,,
2917,ICD Business School,Ireland,,,
2919,Irish Management Institute,Ireland,,,
2924,National University Of Ireland Nui Galway,Ireland,,,
2926,Royal Irish Academy Of Music,Ireland,,,
2928,The Grafton Academy of Fashion Design,Ireland,,,
2934,Adhiparasakthi Agricultural & Horticultural College,India,,,
2936,AIGA The Asian Institute of Gaming & Animation,India,,,
2937,Al Ameer College of Engineering & IT,India,,,
2949,Anchor College,India,,,
2950,Anjuman College,India,,,
2953,Ansal Institute of Technology,India,,,
2954,Ansal Institute of Technology & Management,India,,,
2958,Apollo College,India,,,
2959,Apollo Priyadarshanam Institute of Technology,India,,,
2960,Appasaheb Birnale College of Pharmacy,India,,,
2961,Applied College of Management & Engineering,India,,,
2962,Aquinas College,India,,,
2964,Arunai College of Engineering,India,,,
2965,Arunodaya College,India,,,
2966,Arya College of Engineering & Research Center,India,,,
2974,Atmiya Institute of Technology & Science,India,,,
2975,Audisankara Institute of Technology,India,,,
2976,AVANTHI Educational Portal,India,,,
2977,AVC College,India,,,
2979,Avuthu Ammi Reddy & Bonthu Malla Reddy Degree College,India,,,
2980,Axis College of Engineering & Technology,India,,,
2981,Azad Institute of Aeronautics & Engineering,India,,,
2982,B Pant Institute of Technology,India,,,
2983,Babasaheb Gawde Institute of Management Studies,India,,,
2984,Babu Banarasi Das College of Dental Sciences,India,,,
2986,Bajkul Milani College,India,,,
2987,Balaji Institute of Engineering & Management Sciences,India,,,
2988,Balaji Institute of Management,India,,,
2989,Balaji Institute of Technology,India,,,
2990,Banipur Mahila Mahavidyalaya,India,,,
2991,Baptist Theological Seminary,India,,,
2992,Barapada School of Engineering & Technology,India,,,
2993,Basaveshwara College,India,,,
2995,Bengal College of Engineering & Technology for Women,India,,,
3002,Biju Patnaik Institute of Information Technology & Management Studies BBA,India,,,
3003,Birla College of Arts Science & Commerce,India,,,
3008,BVC Institute of Technology & Science,India,,,
3011,Career Point Universe,India,,,
3012,CBIT College of Engineering,India,,,
3013,Center for Development Economic Studies CDES,India,,,
3015,Centurion University,India,,,
3016,Chandidas College,India,,,
3017,Chaudhari Technical Institute MBA,India,,,
3018,Chaudhary Devi Lal State Institute of Engineering & Technology,India,,,
3019,Chidambaram Pillai College for Women,India,,,
3021,Christ College of Engineering,India,,,
3022,Christian Medical College,India,,,
3023,Chundi Ranganayakulu College,India,,,
3024,Chundi Senior Polytechnic,India,,,
3025,Ciet Institute of Technology & Engineering,India,,,
3027,CMR College of Engineering & Technology,India,,,
3028,CMR College of Engineering & Technology MBA,India,,,
3029,CMR Institute of Management & Technology,India,,,
3032,Cooperative Institute of Technology Vadakara,India,,,
3034,CPA College of Arts and Science,India,,,
3035,Crescent Campus,India,,,
3036,Crescent College of Technology,India,,,
3037,CSA University,India,,,
3039,CVSR College of Engineering,India,,,
3040,DAV College of Engineering & Technology,India,,,
3046,Desh Bhagat Institute of Engineering & Management,India,,,
3047,Dhanalakshmi Srinivasan Institute of Research & Technology,India,,,
3048,Dhanalakshmi Srinivasan Teacher Training Institute,India,,,
3051,Disha Education Society Disha College,India,,,
3052,Don Bosco Technical Institute,India,,,
3053,Dr Ambedkar Memorial Institute of Information Technology & Management Science,India,,,
3054,Dr B C Roy Polytechnic,India,,,
3058,Dr BR Ambedkar College Betai,India,,,
3061,Dr K N Modi institute of Engineering & Technology,India,,,
3063,Dr Vithalrao Vikhe Patil College Of Engineering,India,,,
3065,Dr. Ambedkar Government Law College Pudupakkam,India,,,
3066,DRK Institute of Science & Technology,India,,,
3067,Dwarka Dass Memorial Sai Institute,India,,,
3068,Einstein Colleges,India,,,
3070,Faith Baptist Bible College & Seminary,India,,,
3073,G Reddy College of Engineering & Technology,India,,,
3074,Gandhi Institute for Education & Technology,India,,,
3075,Gandhi Institute of Industrial Technology Brahampur Odisha,India,,,
3078,Gnanamani College of Engineering,India,,,
3079,Gokhale Memorial Girls' College,India,,,
3089,Government Model Science College,India,,,
3091,Govindadasa College,India,,,
3092,Grant Medical College & Sir J.J. Group of Hospitals,India,,,
3094,Gurukul Vidyapeeth Institute of Management & Engineering,India,,,
3098,Harcourt Butler Technological Institute,India,,,
3100,Haryana Vishwakarma Skill University,India,,,
3102,Hill College Tadubi,India,,,
3103,Hindu College,India,,,
3104,Hindustan College of Engineering,India,,,
3105,Hitech College of Engineering & Technology,India,,,
3106,HMCT Don Bosco College,India,,,
3107,Holy Kings College of Engineering & Technology,India,,,
3108,I C College of Technology,India,,,
